"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1AKAB0001","2007-05","61.20468","-149.75633","70.1","ANCHORAGE 4.8 E, AK US","4","1,N","2","1,N","0","1,N","0","2,N","0","1,N","20070531","+,2,N","20070531","+,1,N","20070507",",1,N","0","2,,N,31,+","0","1,,N,31,+","4.3","1,,N,07,","7.9","1,,,N","0","1,,,N"
"US1AKAB0001","2007-08","61.20468","-149.75633","70.1","ANCHORAGE 4.8 E, AK US","10","5,N","3","5,N","0","5,N","","","0","5,N","","","20070831","+,5,N","20070815",",5,N","","","0","5,,N,31,+","13.5","5,,N,15,","33.9","5,,,N","0","5,,,N"
"US1AKAB0001","2007-09","61.20468","-149.75633","70.1","ANCHORAGE 4.8 E, AK US","","","","","","","","","","","","","","","","","","","","","","","90.1","2,a,,N","",""
"US1AKAB0001","2007-10","61.20468","-149.75633","70.1","ANCHORAGE 4.8 E, AK US","10","5,N","4","5,N","0","5,N","0","4,N","0","4,N","20071025",",4,N","20071025",",4,N","20071014",",5,N","13","4,,N,25,","10","4,,N,25,","10.4","5,,N,14,","36.4","5,,,N","18","4,,,N"
"US1AKAB0001","2007-11","61.20468","-149.75633","70.1","ANCHORAGE 4.8 E, AK US","9","3,N","3","3,N","0","3,N","9","5,N","4","3,N","20071119","+,5,N","20071112",",3,N","20071119","+,3,N","127","5,,N,19,+","104","3,,N,12,","4.8","3,,N,19,+","20.9","3,,,N","287","3,,,N"
"US1AKAB0001","2008-08","61.20468","-149.75633","70.1","ANCHORAGE 4.8 E, AK US","11","4,N","3","4,N","0","4,N","","","0","4,N","","","20080831","+,4,N","20080810",",4,N","","","0","4,,N,31,+","6.1","4,,N,10,","24.8",",a,,N","0","4,,,N"
"US1AKAB0001","2008-09","61.20468","-149.75633","70.1","ANCHORAGE 4.8 E, AK US","17","3,N","7","3,N","0","3,N","","","0","3,N","","","20080930","+,3,N","20080917",",3,N","","","0","3,,N,30,+","23.9","3,,N,17,","71.5",",a,,N","0","3,,,N"
"US1AKAB0001","2008-10","61.20468","-149.75633","70.1","ANCHORAGE 4.8 E, AK US","12",",N","5",",N","0",",N","14",",N","4",",N","20081015",",,N","20081013",",,N","20081006",",,N","89",",,N,15,","71",",,N,13,","7.9",",,N,06,","39.4",",,,N","255",",,,N"
"US1AKAB0001","2008-12","61.20468","-149.75633","70.1","ANCHORAGE 4.8 E, AK US","7",",N","5",",N","0",",N","29","2,N","6","1,N","20081230","+,2,N","20081226",",1,N","20081226",",,N","559","2,,N,30,+","152","1,,N,26,","19.1",",,N,26,","42.3",",,,N","491","1,,,N"
"US1AKAB0001","2009-01","61.20468","-149.75633","70.1","ANCHORAGE 4.8 E, AK US","12",",N","5",",N","0",",N","31",",N","2",",N","20090101",",,N","20090131",",,N","20090117",",,N","508",",,N,01,","86",",,N,31,","9.1",",,N,17,","30.1",",,,N","182",",,,N"
"US1AKAB0001","2009-02","61.20468","-149.75633","70.1","ANCHORAGE 4.8 E, AK US","4","3,N","0","3,N","0","3,N","25","3,N","2","4,N","20090203",",3,N","20090228","+,4,N","20090203",",3,N","267","3,,N,03,","36","4,,N,28,+","2.0","3,,N,03,","4.6","3,,,N","91","4,,,N"
"US1AKAB0001","2009-08","61.20468","-149.75633","70.1","ANCHORAGE 4.8 E, AK US","13",",N","6",",N","1",",N","0",",N","0",",N","20090831","+,,N","20090831","+,,N","20090824",",,N","0",",,N,31,+","0",",,N,31,+","32.0",",,N,24,","81.8",",,,N","0",",,,N"
"US1AKAB0001","2009-09","61.20468","-149.75633","70.1","ANCHORAGE 4.8 E, AK US","8","4,N","3","4,N","0","4,N","0","4,N","0","4,N","20090930","+,4,N","20090930","+,4,N","20090926",",4,N","0","4,,N,30,+","0","4,,N,30,+","15.7","4,,N,26,","26.1","4,,,N","0","4,,,N"
"US1AKAB0001","2009-10","61.20468","-149.75633","70.1","ANCHORAGE 4.8 E, AK US","","","","","","","","","","","","","","","","","","","","","","","43.7",",a,,N","",""
"US1AKAB0001","2009-11","61.20468","-149.75633","70.1","ANCHORAGE 4.8 E, AK US","7","2,N","3","2,N","0","2,N","18","4,N","5","3,N","20091130",",4,N","20091128",",3,N","20091126",",2,N","284","4,,N,30,","132","3,,N,28,","8.9","2,,N,26,","27.6","2,,,N","415","3,,,N"
