"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1Adam4316","2020-11","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","6",",N","3",",N","1",",N","20201110",",,N","37.8",",,N,10,","46.3",",,,N"
"US1Adam4316","2020-12","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","7",",N","3",",N","0",",N","20201212",",,N","10.7",",,N,12,","25.6",",,,N"
"US1Adam4316","2021-01","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","6","1,N","4","1,N","0","1,N","20210126",",1,N","22.1","1,,N,26,","34.4","1,,,N"
"US1Adam4316","2021-02","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","8",",N","5",",N","0",",N","20210207",",,N","7.4",",,N,07,","22.4",",,,N"
"US1Adam4316","2021-03","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","8",",N","6",",N","2",",N","20210314",",,N","117.3",",,N,14,","223.2",",,,N"
"US1Adam4316","2021-04","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","7",",N","4",",N","0",",N","20210410",",,N","15.2",",,N,10,","42.2",",,,N"
"US1Adam4316","2021-05","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","13",",N","10",",N","2",",N","20210503",",,N","42.9",",,N,03,","122.4",",,,N"
"US1Adam4316","2021-06","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","4",",N","4",",N","0",",N","20210628",",,N","14.5",",,N,28,","31.3",",,,N"
"US1Adam4316","2021-07","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","8",",N","7",",N","1",",N","20210710",",,N","37.6",",,N,10,","75.9",",,,N"
"US1Adam4316","2021-08","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","7",",N","3",",N","2",",N","20210820",",,N","38.1",",,N,20,","84.4",",,,N"
"US1Adam4316","2021-09","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","7",",N","4",",N","0",",N","20210903",",,N","22.4",",,N,03,","35.9",",,,N"
"US1Adam4316","2021-10","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","5",",N","3",",N","0",",N","20211013",",,N","22.6",",,N,13,","49.3",",,,N"
"US1Adam4316","2021-11","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","4",",N","2",",N","0",",N","20211101",",,N","3.3",",,N,01,","8.9",",,,N"
"US1Adam4316","2021-12","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","2",",N","0",",N","0",",N","20211216","+,,N","1.3",",,N,16,+","2.6",",,,N"
"US1Adam4316","2022-01","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","4",",N","3",",N","0",",N","20220102",",,N","3.0",",,N,02,","8.6",",,,N"
"US1Adam4316","2022-02","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","1",",N","0",",N","0",",N","20220222",",,N","0.5",",,N,22,","0.5",",,,N"
"US1Adam4316","2022-03","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","8",",N","3",",N","0",",N","20220322",",,N","18.3",",,N,22,","31.4",",,,N"
"US1Adam4316","2022-04","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","5",",N","2",",N","0",",N","20220430",",,N","16.8",",,N,30,","24.2",",,,N"
"US1Adam4316","2022-05","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","11",",N","9",",N","2",",N","20220503",",,N","41.9",",,N,03,","101.3",",,,N"
"US1Adam4316","2022-06","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","9",",N","6",",N","0",",N","20220608",",,N","24.6",",,N,08,","75.0",",,,N"
"US1Adam4316","2022-07","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","12",",N","7",",N","0",",N","20220717",",,N","23.1",",,N,17,","91.0",",,,N"
"US1Adam4316","2022-08","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","6",",N","2",",N","0",",N","20220828",",,N","4.6",",,N,28,","10.0",",,,N"
"US1Adam4316","2022-10","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","4",",N","3",",N","0",",N","20221028",",,N","7.4",",,N,28,","16.3",",,,N"
"US1Adam4316","2022-11","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","3",",N","0",",N","0",",N","20221104",",,N","1.5",",,N,04,","2.6",",,,N"
"US1Adam4316","2022-12","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","5",",N","3",",N","0",",N","20221213",",,N","10.4",",,N,13,","20.4",",,,N"
"US1Adam4316","2023-01","40.5895","-98.401",,"HASTINGS 0.6 SW, NE US","2","1,N","2","1,N","0","1,N","20230119",",1,N","24.9","1,,N,19,","34.0","1,,,N"
